Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory arrest,R09.2,55-64,483
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory arrest,R09.2,65-74,885
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory arrest,R09.2,75-84,1118
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory arrest,R09.2,85+,1462
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Respiratory arrest,R09.2,All Ages,4280
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,26
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,68
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,176
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,428
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,1054
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,1781
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,2155
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,2278
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0
10/25/2020,2/1/2020,10/24/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,7966
10/25/2020,2/1/2020,10/24/2020,US,COVID-19,COVID-19,U071,0-24,465
10/25/2020,2/1/2020,10/24/2020,US,COVID-19,COVID-19,U071,25-34,1647
10/25/2020,2/1/2020,10/24/2020,US,COVID-19,COVID-19,U071,35-44,4240
10/25/2020,2/1/2020,10/24/2020,US,COVID-19,COVID-19,U071,45-54,11192
10/25/2020,2/1/2020,10/24/2020,US,COVID-19,COVID-19,U071,55-64,26808
10/25/2020,2/1/2020,10/24/2020,US,COVID-19,COVID-19,U071,65-74,45557
10/25/2020,2/1/2020,10/24/2020,US,COVID-19,COVID-19,U071,75-84,55796
10/25/2020,2/1/2020,10/24/2020,US,COVID-19,COVID-19,U071,85+,64614
10/25/2020,2/1/2020,10/24/2020,US,COVID-19,COVID-19,U071,Not stated,7
10/25/2020,2/1/2020,10/24/2020,US,COVID-19,COVID-19,U071,All Ages,210326
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,0
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,16
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,28
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,56
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,154
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,307
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,332
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,279
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,1172
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,0
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,36
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,69
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,87
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,59
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,266
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,30
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,48
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,82
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,60
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,18
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,253
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Respiratory failure,J96,25-34,12
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Respiratory failure,J96,35-44,30
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Respiratory failure,J96,45-54,104
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Respiratory failure,J96,55-64,193
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Respiratory failure,J96,65-74,377
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Respiratory failure,J96,75-84,415
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Respiratory failure,J96,85+,279
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Respiratory failure,J96,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Respiratory failure,J96,All Ages,1414
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Respiratory arrest,R09.2,45-54,17
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Respiratory arrest,R09.2,55-64,54
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Respiratory arrest,R09.2,65-74,74
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Respiratory arrest,R09.2,75-84,55
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Respiratory arrest,R09.2,85+,54
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Respiratory arrest,R09.2,All Ages,267
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,0
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,22
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,33
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,33
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,29
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0
10/25/2020,2/1/2020,10/24/2020,AL,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,133
10/25/2020,2/1/2020,10/24/2020,AL,COVID-19,COVID-19,U071,25-34,29
10/25/2020,2/1/2020,10/24/2020,AL,COVID-19,COVID-19,U071,35-44,79
10/25/2020,2/1/2020,10/24/2020,AL,COVID-19,COVID-19,U071,45-54,223
10/25/2020,2/1/2020,10/24/2020,AL,COVID-19,COVID-19,U071,55-64,509
10/25/2020,2/1/2020,10/24/2020,AL,COVID-19,COVID-19,U071,65-74,914
10/25/2020,2/1/2020,10/24/2020,AL,COVID-19,COVID-19,U071,75-84,1015
10/25/2020,2/1/2020,10/24/2020,AL,COVID-19,COVID-19,U071,85+,926
10/25/2020,2/1/2020,10/24/2020,AL,COVID-19,COVID-19,U071,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AL,COVID-19,COVID-19,U071,All Ages,3701
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,27
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Respiratory failure,J96,0-24,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Respiratory failure,J96,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Respiratory failure,J96,All Ages,20
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,0
10/25/2020,2/1/2020,10/24/2020,AK,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0
10/25/2020,2/1/2020,10/24/2020,AK,COVID-19,COVID-19,U071,0-24,0
10/25/2020,2/1/2020,10/24/2020,AK,COVID-19,COVID-19,U071,65-74,14
10/25/2020,2/1/2020,10/24/2020,AK,COVID-19,COVID-19,U071,75-84,15
10/25/2020,2/1/2020,10/24/2020,AK,COVID-19,COVID-19,U071,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AK,COVID-19,COVID-19,U071,All Ages,52
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,14
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,48
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,90
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,219
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,481
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,706
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,735
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,529
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,2822
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,0
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,10
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,42
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,91
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,133
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,98
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,382
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,16
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,36
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,74
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,168
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,212
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,191
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,123
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,825
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Respiratory failure,J96,0-24,10
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Respiratory failure,J96,25-34,32
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Respiratory failure,J96,35-44,58
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Respiratory failure,J96,45-54,165
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Respiratory failure,J96,55-64,390
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Respiratory failure,J96,65-74,551
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Respiratory failure,J96,75-84,624
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Respiratory failure,J96,85+,496
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Respiratory failure,J96,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Respiratory failure,J96,All Ages,2326
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Respiratory arrest,R09.2,0-24,0
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Respiratory arrest,R09.2,55-64,11
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Respiratory arrest,R09.2,65-74,21
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Respiratory arrest,R09.2,75-84,39
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Respiratory arrest,R09.2,85+,39
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Respiratory arrest,R09.2,All Ages,119
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,17
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,22
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,42
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,43
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,47
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,41
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0
10/25/2020,2/1/2020,10/24/2020,AZ,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,219
10/25/2020,2/1/2020,10/24/2020,AZ,COVID-19,COVID-19,U071,0-24,26
10/25/2020,2/1/2020,10/24/2020,AZ,COVID-19,COVID-19,U071,25-34,90
10/25/2020,2/1/2020,10/24/2020,AZ,COVID-19,COVID-19,U071,35-44,177
10/25/2020,2/1/2020,10/24/2020,AZ,COVID-19,COVID-19,U071,45-54,374
10/25/2020,2/1/2020,10/24/2020,AZ,COVID-19,COVID-19,U071,55-64,824
10/25/2020,2/1/2020,10/24/2020,AZ,COVID-19,COVID-19,U071,65-74,1195
10/25/2020,2/1/2020,10/24/2020,AZ,COVID-19,COVID-19,U071,75-84,1353
10/25/2020,2/1/2020,10/24/2020,AZ,COVID-19,COVID-19,U071,85+,1162
10/25/2020,2/1/2020,10/24/2020,AZ,COVID-19,COVID-19,U071,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AZ,COVID-19,COVID-19,U071,All Ages,5201
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,10
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,44
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,100
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,149
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,204
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,172
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,686
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,0
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,0
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,0
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,15
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,38
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,53
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,38
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,0
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,147
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,28
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,48
10/25/2020,2/1/2020,10/24/2020,AR,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,56
